total_account_count,total_income,total_product_count,total_profit,CA,AE,SG,AU,JP,SA,MX,active_months,status_code,packages_encoded,registration_source_encoded
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
13,418,0,63,1,1,1,1,1,1,1,44,0,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
2,0,0,0,0,1,1,0,0,0,0,44,1,0,3
0,0,0,0,0,0,0,0,0,0,0,44,1,0,3
2,0,0,0,0,1,1,0,0,0,0,44,1,0,3
0,0,0,0,0,0,0,0,0,0,0,44,1,0,3
4,0,0,0,0,1,1,1,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
1,0,0,0,0,0,0,1,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
3,58475,0,14,0,1,0,1,1,0,0,44,1,0,3
3,56826,0,0,0,1,1,0,0,1,0,44,1,0,3
1,0,0,0,0,0,1,0,0,0,0,44,1,0,3
3,0,0,0,0,1,1,0,0,0,1,44,1,0,3
2,0,0,0,0,1,1,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
0,0,0,0,0,0,0,0,0,0,0,44,1,0,3
3,1879,0,0,1,1,1,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,44,1,0,3
2,0,0,0,0,1,1,0,0,0,0,44,1,0,3
4,0,0,0,0,1,1,0,0,0,0,44,1,0,3
2,11843,0,0,0,1,1,0,0,0,0,44,1,0,3
3,412798,1589,0,1,1,0,0,0,0,1,44,1,0,3
2,0,0,0,0,1,1,0,0,0,0,44,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
2,745,1117,43,1,1,0,0,0,0,0,43,1,0,3
1,0,2195,0,1,0,0,0,0,0,0,43,0,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,158534,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,11689,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,1,0,0,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
3,450,0,0,1,0,0,1,0,0,1,43,1,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
2,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,3130,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
3,0,0,0,0,1,1,1,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
2,0,0,0,0,1,0,1,0,0,0,43,1,0,3
2,9291,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,0,1,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
0,0,0,0,0,0,0,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
2,0,0,0,0,0,1,1,0,0,0,43,1,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,1,0,0,1,0,0,0,0,0,43,0,0,3
2,54811,0,0,0,1,1,0,0,0,0,43,1,0,3
2,837,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
2,0,0,0,1,0,0,0,0,0,1,43,1,0,3
1,0,0,0,1,0,0,0,0,0,0,43,1,0,3
1,0,1,0,0,0,0,0,0,0,0,43,0,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,1,0,0,0,0,0,0,43,1,0,3
3,5270,3503,146,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
2,0,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,0,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
3,2307,0,0,0,1,1,1,0,0,0,43,1,0,3
2,2392,0,0,0,1,1,0,0,0,0,43,1,0,3
3,0,0,0,0,1,1,0,0,0,0,43,1,0,3
1,0,0,0,0,1,0,0,0,0,0,43,1,0,3
1,0,0,0,1,0,0,0,0,0,0,43,1,0,3
2,2007,0,0,0,1,1,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,1072,0,0,0,0,1,0,0,0,0,42,1,0,3
0,0,3510,0,0,0,0,0,0,0,0,42,0,0,3
0,0,0,0,0,0,0,0,0,0,0,42,1,0,3
4,441431,0,0,1,0,1,1,0,0,1,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
0,0,0,0,0,0,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
2,0,0,0,0,1,1,0,0,0,0,42,1,0,3
4,0,0,0,0,0,0,0,0,0,0,42,1,0,3
2,0,0,0,0,0,1,1,0,0,0,42,1,0,3
1,0,0,0,0,0,1,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,0,0,0,0,1,0,0,0,0,42,1,0,3
1,0,0,0,0,0,1,0,0,0,0,42,1,0,3
2,0,0,0,0,1,1,0,0,0,0,42,1,0,3
3,12431,1123,227,1,1,0,0,0,0,1,42,1,0,0
6,48266,0,0,1,1,1,1,0,1,1,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,19542,0,0,0,0,1,0,0,0,42,0,2,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
1,0,0,0,0,1,0,0,0,0,0,42,1,0,3
